step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
10834,2023-07-03 13:39:41.516026608,2,193.3,9.0,-0.09711761803554472,0.08031621803554471,0.0,0.0168014
10835,2023-07-03 13:39:41.516907717,2,193.3,4.0,-0.28063178204300665,0.25398218204301576,0.009999999999990905,0.0166496
10836,2023-07-03 13:39:41.516907717,2,193.3,5.0,-0.38583464644633614,0.35918504644634525,0.009999999999990905,0.0166496
10838,2023-07-03 13:39:41.765807501,1,193.29,11.0,-0.2807614820430351,0.25398218204301576,0.010000000000019327,0.0167793
10841,2023-07-03 13:39:42.212925362,2,193.28,7.0,-0.13002218482438194,0.11358428482438193,0.0,0.0164379
10843,2023-07-03 13:39:46.498037732,1,193.3,8.0,-0.09682111803554472,0.08031621803554471,0.0,0.0165049
10844,2023-07-03 13:39:46.631312765,2,193.29,3.0,-0.0519618182043209,0.025398218204301576,0.010000000000019327,0.0165636
10845,2023-07-03 13:39:46.970906629,1,193.29,4.0,-0.27042878204301574,0.25398218204301576,0.0,0.0164466
10846,2023-07-03 13:39:46.982556645,1,193.31,6.0,-0.042038818204301574,0.025398218204301576,0.0,0.0166406
10848,2023-07-03 13:39:48.610395913,1,193.34,3.0,-0.28058528204300665,0.25398218204301576,0.009999999999990905,0.0166031
10849,2023-07-03 13:39:48.610395913,2,193.34,8.0,-0.07059410435156202,0.04399100435157111,0.009999999999990905,0.0166031
10850,2023-07-03 13:39:48.611052140,1,193.33,6.0,-0.05184971820429248,0.025398218204301576,0.009999999999990905,0.0164515
10852,2023-07-03 13:39:49.619275844,2,193.32,3.0,-0.09679801803554472,0.08031621803554471,0.0,0.0164818
10853,2023-07-03 13:39:49.620438933,1,193.32,5.0,-0.28049268204303507,0.25398218204301576,0.010000000000019327,0.0165105
10854,2023-07-03 13:39:49.947711425,2,193.32,6.0,-0.062376904644653855,0.03591850464463453,0.010000000000019327,0.0164584
10855,2023-07-03 13:39:50.364584656,1,193.31,4.0,-0.05227221820429248,0.025398218204301576,0.009999999999990905,0.016874
10856,2023-07-03 13:39:50.364584656,2,193.31,4.0,-0.06279250464462544,0.03591850464463453,0.009999999999990905,0.016874
10857,2023-07-03 13:39:50.365424572,2,193.31,9.0,-0.27046228204301576,0.25398218204301576,0.0,0.0164801
10858,2023-07-03 13:39:50.366426865,2,193.32,6.0,-0.30838101117010597,0.291803311170106,0.0,0.0165777
